阰: 古山名。在楚国南部。
?: 
齌: 1.〔～怒〕盛怒；暴怒，如“荃不察余之中情兮，反信谗而～怒。”2.猛火煮饭。
顑: 〔～頷（hàn）〕面黄饥瘦，如“长～頷（hàn）亦何伤！”
掔: 1.固紧；使牢固：“令命昏纬狗，纂马，～纬。”2.除去。3.厚实；坚实。4.击。5.古通“牵”，牵引：“郑襄公肉袒～羊以迎。”
茞: 古书上说的一种草。姓。
纚: 1.绳索。2.系住。3.盛装的样子。
鞿: 1.马嚼子，：“是犹以～而御駻突。”2.马笼头。3.牵制；束缚。
谇: 1.斥责；诘问。2.谏诤。
纕: 1.捋袖露出手臂。2.束衣袖的绳索。3.丝纷乱。
诼: 毁谤：谣～。
偭: 1.向；面向。2.违背：～规越矩（违背正常的法度）。
嬃: 见“媭”。
詈: 骂：～骂。～辞（骂人的话）。
婞: 倔强固执：～直。
薋: 聚积。：“～葹菉以盈室兮。”
葹: 苍耳。古人认为它是一种恶草。
衖: 1.同“巷（xiàng）”。2.另音lòng，见“弄”
佚: 散失。  【组词】：亡佚、佚事、散佚安乐、放荡、放纵。通「逸」。  【组词】：淫佚、佚游
浞: 淋；使湿：让雨～了。一潲雨，桌子上的书全～湿了。
圉: 养马的地方：～人（掌管养马的人）。
菹: 1.酸菜，腌菜。2.多水草的沼泽地带：～草。3.剁成肉酱，切碎：～醢（古代把人剁成肉酱的一种酷刑）。4.肉：麋鹿为～。5.枯草：～薪。
阽: “阽”diàn的又音。
歔: 〔歔欷〕也作嘘唏。哽咽；抽噎（yē）。
轫: 支住车轮不使旋转的木头：发～。
繣: 1.系结东西的带子：“枚如箸，衔之，有～结项中。”2.乖戾。3.破裂声：“～瓦解而冰泮。”
洧: 洧川（Wěichuān），地名，在河南。
娀: 有娀，古国名，在今山西运城一带。
佻: 轻浮；不庄重：轻～。
筳: 1.络丝用的工具。2.作算筹用的小竹枝。
篿: 圆形的竹器：～箕。～匾。
」: 
昡: 日光。
珵: 美玉。
祎: 美好（多用于人名）。
糈: 粮。精细的米。
矱: 尺度；标准。
挚: 诚恳；恳切： 真～。 恳～。
鴃: 见“鴂”。
薆: 1.隐蔽：“众～然而蔽之。”2.草木茂盛：“南园～兮果载荣。”3.香：“誉馥区中，道～岷外。”
慆: 娱悦。
樧: 1.植物名。即茱萸。2.木楔。
沬: 商朝的都城，又称朝歌（Zhāogē），在今河南汤阴南。
爢: 细末。
粻: 粮食。
轪: 古指车毂（gǔ ）上包的铁帽。 也泛指车轮。
璆: 1.美玉。2.玉磬。
瑱: 古人冠冕上垂在两侧以塞耳的玉。
枹: 枹树，也叫小橡子。落叶乔木。果长卵形，下有壳斗。
猋: 1.迅速。2.同“飙”。
陫: 1.〔～侧〕古同“悱恻”，心中悲苦，如“隐思君兮～侧。”2.古同“厞”，隐蔽；狭隘。
薠: 古书上说的一种似莎而比莎大的草：“白～兮聘望，与佳期兮夕张。”
澨: 1.大堤。2.水边。
橑: 1.屋椽：“桂栋兮兰～，辛夷楣兮药房。”2.车盖弓：“古之为路车也，盖圆以象天，二十八～以象列星。”3.柴薪。4.古书上说的一种药草。
擗: 1.捶胸：“～踊哭泣，哀以送之。”2.捶打：把脑袋～得粉碎。3.掰：～棒子。
櫋: 屋檐板。
褋: 单衣。
涷: 1.〔～雨〕暴雨，如“令飘风兮先驱，使～雨兮洒尘。”2.〔～水〕河名，即浊漳水，发源于中国山西省，流经河北省入清漳水。
寖: 古同“浸”，浸渍。
儵: 同“倏”。
怳: 狂放的样子@@@@模糊不清的样子3.心神不安的样子；失意的样子4.猛然；忽然5.仿佛;好像
輈: 见“辀”。
儋: →儋县
縆: 1.粗绳子。2.拧紧（弦）：“～瑟兮交鼓。”
媵: 1.古代贵族女子出嫁时陪嫁的人。2.妾。
躐: 1.超越：～进（不按次序前进）。～等（越级）。2.踩；践踏。
殪: 1.死。2.杀。
怼: 对，相持也，意为互相对峙，底下加“心”，表示心里抵触，对抗。引申为怨恨，故而怼，怨也。
佥: 1.文言副词。都。2.众人的：甚副～望。
愎: 任性，自以为是，不接受别人的意见：刚～自用。
纂: 1.编辑：编～。～辑。2.〈方〉纂儿，旧时妇女梳在头后边的发髻。
窴: 把空缺的地方塞满或补满：～塞。～补。～充。～空（kòng）。义愤～膺。充满；填塞。3.置放。
墬: 同“地（dì）”。
椭: 长圆形：～圆。
尻: 1.屁股。2.脊骨的末端：～骨。
鯈: 古同“鲦”。
蓱: 同“萍”。
枲: 枲麻，也泛指麻。
鲮: 鱼，体侧扁，头短，口小，背部青灰色，腹部银白色。生活在淡水中，不耐低温，是珠江流域等地区的重要经济鱼类。也叫土鲮鱼。
鬿: 〔鬿堆〕古代神话传说中的奇兽。
